phase,t_s,joint_indices,target_positions,actual_positions
teach,0.006305,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.274990 0.175221 -0.026138 1.007358 0.159103 0.074770 0.007574 0.278489 -0.178577 0.008101 1.013494 -0.206392 0.018480 -0.010978 0.122570 1.005335 1.340277 -1.374651 -1.683790 -0.791843 -1.311946 0.052381 -0.899949 -1.108342 1.387006 1.463753 1.482698 1.603469,0.033316 0.086155 -0.026401 1.497788 0.151193 0.074098 0.175545 0.013003 -0.096066 -0.011685 1.541207 -0.163776 0.019127 -0.175197 0.122570 1.005335 1.340277 -1.374651 -1.683790 -0.791843 -1.311946 0.052381 -0.899949 -1.108342 1.387006 1.463753 1.482698 1.603469
teach,0.021414,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033316 0.086155 -0.026401 1.497788 0.151193 0.074098 0.175545 0.013003 -0.096066 -0.011685 1.541207 -0.163776 0.019127 -0.175197 0.122570 1.005335 1.340277 -1.374651 -1.683790 -0.791843 -1.311946 0.052381 -0.899949 -1.108342 1.387006 1.463753 1.482698 1.603469,0.033304 0.086155 -0.026401 1.497777 0.151193 0.074170 0.175557 0.012979 -0.096066 -0.011673 1.541207 -0.163812 0.019103 -0.175197 0.122570 1.005335 1.340277 -1.374651 -1.683790 -0.791843 -1.311946 0.052381 -0.899949 -1.108342 1.387006 1.463753 1.482698 1.603469
teach,0.025160,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033304 0.086155 -0.026401 1.497777 0.151193 0.074170 0.175557 0.012979 -0.096066 -0.011673 1.541207 -0.163812 0.019103 -0.175197 0.122571 1.005337 1.339397 -1.374321 -1.683797 -0.791738 -1.311934 0.052379 -0.899935 -1.108331 1.387009 1.463748 1.482709 1.603465,0.033304 0.086167 -0.026389 1.497764 0.151181 0.074182 0.175557 0.012991 -0.096066 -0.011673 1.541219 -0.163800 0.019103 -0.175209 0.122571 1.005337 1.339397 -1.374321 -1.683797 -0.791738 -1.311934 0.052379 -0.899935 -1.108331 1.387009 1.463748 1.482709 1.603465
teach,0.030505,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033304 0.086167 -0.026389 1.497764 0.151181 0.074182 0.175557 0.012991 -0.096066 -0.011673 1.541219 -0.163800 0.019103 -0.175209 0.122571 1.005337 1.339397 -1.374321 -1.683797 -0.791738 -1.311934 0.052379 -0.899935 -1.108331 1.387009 1.463748 1.482709 1.603465,0.033292 0.086155 -0.026401 1.497777 0.151181 0.074170 0.175569 0.013003 -0.096054 -0.011673 1.541207 -0.163800 0.019115 -0.175197 0.122571 1.005337 1.339397 -1.374321 -1.683797 -0.791738 -1.311934 0.052379 -0.899935 -1.108331 1.387009 1.463748 1.482709 1.603465
teach,0.040542,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033292 0.086155 -0.026401 1.497777 0.151181 0.074170 0.175569 0.013003 -0.096054 -0.011673 1.541207 -0.163800 0.019115 -0.175197 0.122570 1.005337 1.335409 -1.373198 -1.683820 -0.790180 -1.311872 0.052378 -0.899942 -1.108335 1.387011 1.463748 1.482709 1.603465,0.033304 0.086167 -0.026401 1.497777 0.151193 0.074146 0.175557 0.013003 -0.096042 -0.011673 1.541195 -0.163776 0.019115 -0.175197 0.122570 1.005337 1.335409 -1.373198 -1.683820 -0.790180 -1.311872 0.052378 -0.899942 -1.108335 1.387011 1.463748 1.482709 1.603465
teach,0.052003,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033304 0.086167 -0.026401 1.497777 0.151193 0.074146 0.175557 0.013003 -0.096042 -0.011673 1.541195 -0.163776 0.019115 -0.175197 0.122570 1.005328 1.335403 -1.373197 -1.683831 -0.790101 -1.311879 0.052378 -0.899955 -1.108345 1.387015 1.463750 1.482703 1.603469,0.033316 0.086143 -0.026389 1.497788 0.151181 0.074146 0.175557 0.012991 -0.096054 -0.011661 1.541195 -0.163764 0.019103 -0.175209 0.122570 1.005328 1.335403 -1.373197 -1.683831 -0.790101 -1.311879 0.052378 -0.899955 -1.108345 1.387015 1.463750 1.482703 1.603469
teach,0.061492,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033316 0.086143 -0.026389 1.497788 0.151181 0.074146 0.175557 0.012991 -0.096054 -0.011661 1.541195 -0.163764 0.019103 -0.175209 0.122570 1.005328 1.335403 -1.373197 -1.683831 -0.790101 -1.311879 0.052378 -0.899955 -1.108345 1.387015 1.463750 1.482703 1.603469,0.033304 0.086155 -0.026389 1.497753 0.151193 0.074158 0.175569 0.013003 -0.096054 -0.011649 1.541195 -0.163764 0.019103 -0.175197 0.122570 1.005328 1.335403 -1.373197 -1.683831 -0.790101 -1.311879 0.052378 -0.899955 -1.108345 1.387015 1.463750 1.482703 1.603469
teach,0.075026,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033304 0.086155 -0.026389 1.497753 0.151193 0.074158 0.175569 0.013003 -0.096054 -0.011649 1.541195 -0.163764 0.019103 -0.175197 0.122568 1.005327 1.335411 -1.372936 -1.683843 -0.790019 -1.311875 0.052377 -0.899938 -1.108342 1.387006 1.463762 1.482702 1.603469,0.033292 0.086131 -0.026401 1.497753 0.151193 0.074170 0.175545 0.013003 -0.096042 -0.011673 1.541195 -0.163776 0.019103 -0.175209 0.122568 1.005327 1.335411 -1.372936 -1.683843 -0.790019 -1.311875 0.052377 -0.899938 -1.108342 1.387006 1.463762 1.482702 1.603469
teach,0.081380,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033292 0.086131 -0.026401 1.497753 0.151193 0.074170 0.175545 0.013003 -0.096042 -0.011673 1.541195 -0.163776 0.019103 -0.175209 0.122569 1.005331 1.335413 -1.372943 -1.683845 -0.790027 -1.311871 0.052381 -0.899947 -1.108335 1.387015 1.463754 1.482705 1.603465,0.033304 0.086131 -0.026389 1.497777 0.151193 0.074146 0.175557 0.013003 -0.096054 -0.011673 1.541183 -0.163776 0.019103 -0.175209 0.122569 1.005331 1.335413 -1.372943 -1.683845 -0.790027 -1.311871 0.052381 -0.899947 -1.108335 1.387015 1.463754 1.482705 1.603465
teach,0.090539,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033304 0.086131 -0.026389 1.497777 0.151193 0.074146 0.175557 0.013003 -0.096054 -0.011673 1.541183 -0.163776 0.019103 -0.175209 0.122569 1.005328 1.335409 -1.372939 -1.683841 -0.790025 -1.311879 0.052382 -0.899938 -1.108356 1.387018 1.463748 1.482710 1.603467,0.033316 0.086155 -0.026389 1.497753 0.151169 0.074134 0.175557 0.012991 -0.096066 -0.011673 1.541183 -0.163812 0.019127 -0.175197 0.122569 1.005328 1.335409 -1.372939 -1.683841 -0.790025 -1.311879 0.052382 -0.899938 -1.108356 1.387018 1.463748 1.482710 1.603467
