t_s,command_name,command_index,input_forward,input_backward,input_left,input_right,input_up,input_down,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
40.504298,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042604,0.078317,0.209784,1.488908,-0.102118,0.095982,0.226921,0.005273,-0.070180,-0.004650,1.551130,-0.128627,0.033592,-0.152415
40.554676,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042580,0.078293,0.209784,1.488932,-0.102106,0.095994,0.226909,0.006831,-0.070635,-0.004626,1.532986,-0.128699,0.033388,-0.152427
40.604226,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042604,0.078293,0.209784,1.488932,-0.102082,0.095982,0.226909,0.009480,-0.071318,-0.004518,1.521098,-0.128794,0.032981,-0.152391
40.655266,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042568,0.078293,0.209796,1.488920,-0.102142,0.095982,0.226909,0.007562,-0.071881,-0.004518,1.521625,-0.128723,0.033064,-0.152427
40.704095,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042616,0.078293,0.209808,1.488908,-0.102142,0.095982,0.226849,0.007562,-0.072301,-0.004542,1.521625,-0.128747,0.033076,-0.152427
40.754919,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042592,0.078293,0.209784,1.488920,-0.102166,0.095982,0.226861,0.007562,-0.072792,-0.004542,1.521613,-0.128747,0.033088,-0.152427
40.804797,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042568,0.078317,0.209784,1.488908,-0.102106,0.095982,0.226861,0.007167,-0.073200,-0.004542,1.521577,-0.128699,0.033064,-0.152427
40.854914,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042592,0.078305,0.209796,1.488908,-0.102130,0.095970,0.226861,0.005345,-0.073979,-0.004542,1.521505,-0.128723,0.033076,-0.152427
40.905053,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042544,0.078293,0.209772,1.488908,-0.102118,0.095982,0.226873,0.003535,-0.075381,-0.004530,1.521421,-0.128782,0.033076,-0.152427
40.954644,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042568,0.078293,0.209784,1.488920,-0.102142,0.095982,0.226885,0.002277,-0.076963,-0.004518,1.521098,-0.128818,0.033100,-0.152427
41.005548,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042580,0.078293,0.209772,1.488908,-0.102130,0.095970,0.226873,0.001786,-0.078125,-0.004518,1.520822,-0.128806,0.033088,-0.152427
41.054713,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042592,0.078293,0.209784,1.488908,-0.102142,0.095982,0.226873,0.001726,-0.078916,-0.004530,1.520678,-0.128842,0.033088,-0.152427
41.104287,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042592,0.078293,0.209772,1.488920,-0.102142,0.095982,0.226873,0.001882,-0.079479,-0.004518,1.520690,-0.128806,0.033088,-0.152439
41.154429,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042592,0.078281,0.209784,1.488932,-0.102118,0.096006,0.226873,0.002097,-0.080139,-0.004518,1.520714,-0.128818,0.033088,-0.152439
41.204262,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042568,0.078293,0.209796,1.488920,-0.102130,0.095994,0.226873,0.002001,-0.080546,-0.004542,1.520630,-0.128771,0.033088,-0.152427
41.255099,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042616,0.078293,0.209796,1.488932,-0.102106,0.095982,0.226873,0.002049,-0.080738,-0.004542,1.518701,-0.128747,0.033076,-0.152427
41.304046,up,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.042556,0.078293,0.209808,1.488920,-0.102106,0.095994,0.226849,0.003056,-0.080738,-0.004542,1.510324,-0.128723,0.033172,-0.152427
